id,category,prompt,evidence,output,risk,tags,reference,stack
threat-model,threat-model,What assets actors entry points and trust boundaries define this threat model?,requirements architecture data flow runtime boundaries,concise threat model with threats controls gaps and priority mitigations,unmapped boundaries hide practical attack paths,"threat model,attack surface,trust boundaries",references/threat-modeling.md,*
authz-review,authorization,Can the authoritative owner enforce role tenant and object authorization?,routes handlers policies queries serializers authorization tests,confirmed or suspected authz gap with IDOR/BOLA preconditions and remediation,client-only checks expose cross-account data,"authorization,IDOR BOLA,API authz",references/authz-secrets.md,node;nextjs
secrets-review,secrets,Where can credentials tokens keys or private data be exposed or logged?,env names CI config logs storage bundle and reports,redacted exposure finding with rotation owner and verification,secret values in reports create a second incident,"secrets,credentials,redaction,sensitive logging",references/authz-secrets.md,*
input-injection,input,Which untrusted inputs reach interpreters files URLs queries or rendered output?,schemas parsers sinks encoding and network/file calls,bounded injection SSRF XSS CSRF or path-risk analysis,untraced input reaches a dangerous sink,"input validation,injection,SSRF,XSS CSRF",references/authz-secrets.md,react;node;nextjs
mobile-deeplink,mobile,What happens when an untrusted deep link or WebView payload reaches a mobile action?,navigation intent filters WebView bridge local storage biometrics and permissions,platform-specific deep-link security review with lifecycle and recovery checks,web assumptions fail across mobile trust boundaries,"mobile deep link,WebView,local storage,biometric permissions",references/mobile-security.md,react-native;flutter;ios;android
api-exposure,api,Which API responses and errors reveal sensitive data across auth and tenant boundaries?,OpenAPI handlers serializers logs and integration tests,API data-exposure review with owner-side control and redacted evidence,overbroad responses leak private or cross-tenant data,"API authorization,sensitive data,tenant boundary",references/authz-secrets.md,node;nextjs
desktop-ipc,desktop,Which Tauri or Electron IPC commands cross into filesystem shell or native capabilities?,preload commands capability policy serialization and path validation,desktop boundary review with command and permission mitigations,renderer input can reach privileged native operations,"desktop IPC,command execution,filesystem permissions",references/mobile-security.md,tauri;electron
dependency-supply-chain,dependency,What dependency and build-chain trust assumptions affect this release?,lockfiles provenance install scripts CI permissions and artifacts,supply-chain risk with evidence and bounded controls,dependency age alone is not proof of a vulnerability,"dependency,supply chain,unsafe deserialization",references/supply-chain.md,node;docker
session-tokens,session,Are authentication session and refresh tokens validated rotated revoked and stored safely?,issuance refresh logout expiry storage cookies and tests,session lifecycle gaps with attacker prerequisites and regression evidence,stale or replayable tokens extend unauthorized access,"authentication,session tokens,refresh revocation",references/authz-secrets.md,react;node;react-native
storage-encryption,storage,Does sensitive data use appropriate storage and encryption boundaries?,database mobile storage key management backups and access policy,storage and encryption review with key ownership and residual risk,plaintext persistence expands compromise impact,"storage,encryption,key management,privacy",references/mobile-security.md,node;react-native;ios;android
security-regression,regression,Which security controls need deterministic regression coverage after this change?,changed boundary authz input data storage dependency and tests,security regression scope handed to showdar-test without claiming execution,security fixes regress when only happy paths are checked,"security regression,regression coverage,verification",references/threat-modeling.md,*
logging-privacy,logging,Do logs metrics traces and error responses avoid secrets and unnecessary personal data?,logging config telemetry serializers redaction tests and retention,privacy-safe observability review with redacted evidence,diagnostic output can become a data-exposure surface,"logging,privacy,data exposure",references/authz-secrets.md,node;react-native
