id,component,default_guidance,states,mobile_notes,desktop_notes,avoid,tags,reference
button,Button,one clear primary action per local decision area,default; hover; pressed; focus; disabled; loading,keep hit area generous,use shortcut only when action discoverability remains,multiple primary buttons with same weight,actions hierarchy,references/interaction.md
text-field,Text field,persistent label with nearby help or error text,empty; focus; filled; error; disabled,use correct keyboard and content type,show validation without disrupting typing,placeholder as only label,forms validation,references/accessibility.md
card,Card,use only when grouping has semantic value,default; selected; interactive if applicable,avoid nested cards,use alignment and whitespace before containers,wrapping every section in a card,grouping surfaces,references/anti-ai-ui.md
navigation,Navigation,make current location and next destination obvious,default; active; focus,respect platform back behavior,use persistent context for deep work,inventing nonstandard back semantics,navigation orientation,references/layout.md
dialog,Dialog,use for short blocking decisions,open; focus trap; confirm; cancel,prefer sheet when platform appropriate,keep content short and return focus,long forms in small modal,blocking decision,references/interaction.md
table,Table,align comparable data and preserve headers,loading; empty; sort; selected,replace with task-focused list on narrow screens,allow column density and keyboard navigation,horizontal squeeze with unreadable columns,data table,references/layout.md
tabs,Tabs,use for peer views not sequential steps,active; focus; disabled,keep labels short and visible,do not hide primary hierarchy behind tabs,using tabs as hidden navigation,peer views,references/layout.md
toast,Toast,use for non-blocking transient confirmation,success; warning; error,critical errors persist elsewhere,provide live announcement and dismiss,putting actionable critical errors only in toast,feedback transient,references/interaction.md
empty-state,Empty state,explain state and next useful action,first-use; filtered-empty; error-empty,keep action reachable,include reset filters and import affordance,generic illustration with no recovery action,empty recovery,references/interaction.md
skeleton,Skeleton,match eventual content geometry,loading,avoid long animation cost,do not use for instant content,random gray boxes unrelated to layout,loading geometry,references/interaction.md
bottom-sheet,Bottom sheet,use for contextual mobile actions,peek; expanded; dismissed,support drag back and keyboard safely,prefer dialog or side panel on desktop,desktop modal copied directly,mobile actions,references/responsive.md
search,Search,keep query visible and results state explicit,idle; typing; loading; no-results; error,debounce expensive remote search,show keyboard shortcut and result count,clearing query unexpectedly,search discovery,references/interaction.md
select,Select,use native select when option set is simple,closed; open; selected; error; disabled,use platform picker for mobile,searchable menu for large option sets,custom menu for a native problem,forms choice,references/accessibility.md
date-picker,Date picker,match input to date precision and locale,empty; open; invalid; selected; disabled,use platform calendar when it improves entry,allow typed input and timezone clarity,forcing a complex calendar for a simple date,date input,references/accessibility.md
pagination,Pagination,make range and next action explicit,first; middle; last; loading,prefer load-more when task is continuous,retain filters and scroll context,number links with no current state,data navigation,references/layout.md
tooltip,Tooltip,use for supplementary explanation not required content,hidden; visible; focus; dismissed,avoid hover-only meaning,keyboard focus and delay should be deterministic,putting essential instructions in tooltip,help affordance,references/accessibility.md
banner,Banner,use for persistent context-changing status,info; warning; error; dismissible,avoid consuming first viewport,provide clear action and scope,using toast for outage or required action,persistent status,references/interaction.md
avatar,Avatar,show identity only when it supports recognition,loaded; fallback; unavailable; selected,provide name in semantics,avoid oversized decorative circles,initials with no accessible name,identity,references/accessibility.md
chart,Chart,show title units source and takeaway,loading; empty; error; interactive; selected,provide concise summary before dense visual,allow keyboard and data table alternative,chart without labels or explanation,data visualization,references/accessibility.md
