id,category,prompt,evidence,output,risk,tags,reference,stack
functional-decomposition,functional,What actor trigger input and observable result define this behavior?,ticket examples API contract current flow,functional requirement with actor trigger input result and failure behavior,implementation starts from vague prose,functional requirement,references/analysis-guide.md,*
business-rule,business-rule,Which rule decides eligibility permission amount or state transition?,policy source domain code approval matrix,explicit rule with source owner and unresolved decision,invented policy changes product meaning,business rules,references/analysis-guide.md,*
acceptance-criteria,acceptance,Can the behavior be proven with observable Given When Then evidence?,test fixtures API response UI state,compact testable acceptance criteria,works correctly cannot distinguish pass from failure,acceptance criteria,references/analysis-guide.md,*
ambiguity,ambiguity,Which missing or ambiguous requirement has an unspecified actor state timing threshold or error behavior?,contradictory ticket terms missing examples repository mismatch,open question or labelled bounded assumption,team silently chooses incompatible behavior,ambiguity missing decision,references/analysis-guide.md,*
flow-edge-cases,flow,Which alternate negative edge and boundary flows can change the outcome?,state machine validation limits timeout retry cancellation offline,flow matrix with preconditions and postconditions,happy path hides duplicate partial and recovery defects,negative path boundary state transition,references/analysis-guide.md,*
state-transition,state,What states and events can this feature enter leave or refuse?,model reducer persistence API tests,state transition table with guards and terminal behavior,invalid transitions corrupt data or confuse UI,state transitions,references/analysis-guide.md,*
mobile-requirements,platform,Which permission lifecycle deep-link OS and offline behavior is required on mobile?,React Native or Flutter navigation permissions platform tests,platform-specific acceptance split by OS and lifecycle,web assumptions fail on background or denied permission,mobile permissions lifecycle offline,references/analysis-guide.md,react-native;flutter
api-requirements,platform,Which validation authorization idempotency timeout and compatibility rules cross the API boundary?,OpenAPI types handlers integration tests,API requirement with old-client and failure contract,client and server disagree on retry or error shape,API compatibility idempotency,references/analysis-guide.md,node
desktop-requirements,platform,What crosses the desktop frontend native command and packaging boundary?,Tauri or Electron commands capabilities serialization,desktop requirement with permission and payload evidence,frontend appears successful while native command rejects,desktop IPC permissions,references/analysis-guide.md,tauri;electron
non-functional,non-functional,What measurable quality constraint applies to latency availability privacy accessibility localization or compatibility?,SLO accessibility target supported OS browser matrix,non-functional requirement with metric scope and evidence,qualitative non-functional claims cannot be verified,NFR quality constraint,references/analysis-guide.md,*
