id,category,question,evidence,boundary,risk,tags,reference,stack
scenario-partition,scenario,Which happy negative alternate and boundary scenarios can change the outcome?,requirements state model examples,valid invalid missing minimum maximum duplicate and cancelled inputs,happy path misses failure behavior,scenario coverage boundary,references/qa-guide.md,*
risk-based,risk,Which changed area has the highest likelihood and impact?,diff dependency data and incident history,prioritize authorization data integrity integration and recovery,uniform checklist hides critical risk,risk based testing,references/qa-guide.md,*
regression-scope,regression,What must high-risk targeted and optional regression cover?,change surface release notes known defects,changed boundaries plus adjacent behavior with explicit deferrals,release confidence is not tied to change,risk regression scope,references/qa-guide.md,*
platform-matrix,compatibility,Which OS browser device locale orientation and lifecycle partitions matter?,support matrix feature behavior native config,representative supported partitions not every combination,platform defect escapes desktop-only verification,device browser platform matrix,references/qa-guide.md,react-native;flutter;ios;android
network-offline,network,What happens across offline timeout reconnect retry and duplicate submission?,API contract logs state transitions,assert user state data integrity and idempotency after recovery,network transitions create duplicate or lost effects,offline retry idempotency,references/qa-guide.md,node;react-native;flutter
permission-lifecycle,platform,What should happen for denied limited revoked and background permission states?,permission API navigation lifecycle evidence,verify explain recover and re-entry behavior per platform,permission denial traps the user,permissions lifecycle,references/qa-guide.md,react-native;ios;android
accessibility-localization,quality,Which keyboard screen-reader text-scaling locale and formatting checks apply?,semantic roles snapshots locale fixtures,verify names focus errors order truncation and translated meaning,visual pass hides inaccessible or broken localized flow,accessibility localization,references/qa-guide.md,react;react-native;flutter
data-concurrency,data,How are concurrent retry and partial operations kept consistent?,transaction logs idempotency keys controlled interleavings,assert no duplicate loss or impossible state,serial-only testing misses races,data integrity concurrency,references/qa-guide.md,node
bug-reproduction,bug-report,What environment preconditions steps actual expected and evidence make this defect reproducible?,logs screen recording build and account details,record unknown fields and repro attempts without guessing,weak report cannot be triaged,bug reproduction evidence,references/qa-guide.md,*
release-qa,release,What smoke sanity acceptance and rollback-adjacent checks are required before handoff?,release scope build metadata test results,verify artifact and critical path without implying deployment,ship checklist claims unexecuted confidence,release QA smoke sanity,references/qa-guide.md,*
