id,category,symptom,signals,likely_causes,evidence_to_collect,experiments,common_wrong_fix,verification,severity,tags,reference,stack
runtime-null,runtime,crash on a user path,stack trace points to property access after input boundary,missing validation or contract mismatch,first frame plus input shape and caller,feed invalid and valid boundary cases,add optional chaining everywhere,regression test rejects malformed input,high,runtime null contract,references/hypothesis-driven-debugging.md,*
runtime-unhandled,runtime,process exits after rejected work,unhandledRejection or uncaughtException near async task,promise ownership missing or error rethrow lost,process logs with request or job id,await task and observe rejection owner,add a process handler that swallows error,test expected failure and process health,high,runtime async error,references/async-races.md,node
state-stale,state,UI shows old value after mutation,source read is new but rendered selector/cache remains old,duplicated state or missing invalidation,source snapshot cache key event order,read after mutation with cache bypass,force global refresh after every mutation,mutation then read regression,high,state cache stale,references/async-races.md,react
state-reset,state,form or screen resets unexpectedly,state changes on remount or key change,unstable identity or effect mirrors props,mount key props and state transition trace,remove key or delay remount to isolate owner,copy props into state and sync in effect,focused interaction test,medium,state lifecycle,references/async-races.md,react
lifecycle-navigation,lifecycle,crash after navigation,callback fires after screen or controller disposal,uncancelled listener or async completion,route timeline disposal callback and native log,navigate away at each await boundary,add null guards only at visible caller,repeat navigation regression,high,lifecycle navigation,references/async-races.md,react-native
lifecycle-subscription,lifecycle,duplicate event handling grows per visit,listener count rises after enter leave,subscription not removed or effect dependency repeats,listener registration count and cleanup trace,visit screen twice with event probe,debounce event handler,listener count returns to baseline,high,lifecycle subscription,references/async-races.md,flutter
race-last-write,race,older request overwrites newer result,request IDs finish out of order,completion order used as freshness,request timeline IDs sequence and state writes,delay first request and release second first,debounce all input,older result is ignored by version or cancellation,high,race ordering,references/async-races.md,react
race-duplicate,race,action happens twice,duplicate request IDs or two subscriptions,retry plus re-entry or effect double-run,caller count request IDs and lifecycle,trigger rapid action and single action,disable button without server idempotency,one durable side effect exists,high,race duplicate,references/async-races.md,node
async-timeout,async,request hangs until UI is unusable,no timeout or cancellation event,transport promise never settles or queue is blocked,timing logs and abort signal state,disconnect or hold server response,raise timeout without preserving cancellation,timeout produces actionable retry state,medium,async timeout,references/networking.md,node
async-cancel,async,cancelled work updates state,cancel event followed by success/error update,abort ignored or stale closure,abort propagation and post-cancel writes,cancel during request and inspect writes,ignore cancellation error globally,disposed owner has no state write,high,async cancellation,references/async-races.md,react-native
network-transport,network,request never reaches server,offline DNS TLS timeout or connection error,transport environment or endpoint issue,method host class status elapsed and error code,run same request from known network and local host,change HTTP status handling only,transport failure is classified separately,high,network transport,references/networking.md,*
network-http,network,server returns an error status,HTTP status with valid response body,server contract or auth policy failure,status headers redacted body class and request ID,replay safe request and inspect server route,retry every 4xx,expected status maps to user recovery,high,network http,references/networking.md,node
network-parse,network,request succeeds but data is unusable,2xx response fails decoder or fields missing,response schema drift or wrong content type,content type status bounded payload shape,save redacted fixture and run decoder,cast response to expected type,decoder rejects bad fixture clearly,high,network parsing,references/networking.md,typescript
auth-refresh,network,intermittent 401 during refresh,two refresh calls or expired token ordering,refresh race clock skew or retry ordering,redacted token identity request timeline expiry,serialize refresh and compare concurrent behavior,clear session on every 401,one refresh and correct retry behavior,high,auth refresh,references/networking.md,react-native
cache-key,caching,unrelated users or queries share result,cache keys omit tenant filter locale or parameters,under-specified key or normalization collision,print hashed key components and query inputs,add one distinguishing parameter and compare keys,clear entire cache,distinct inputs produce distinct entries,high,cache key,references/async-races.md,*
cache-invalidation,caching,updated source is hidden by cached read,write path omits affected key/version,invalid invalidation ownership,source version key and mutation event,disable cache then compare targeted invalidation,global cache clear,affected read changes while unrelated cache survives,high,cache invalidation,references/async-races.md,react
database-transaction,database,partial state after failure,one table updated while related write fails,transaction boundary split or wrong connection,DB state before after and transaction logs,fail second write and inspect rollback,catch and continue with partial state,atomic state is restored,high,database transaction,references/hypothesis-driven-debugging.md,node
