id,product,goals,density,tone,layout,avoid,tags,reference
saas-dashboard,SaaS Dashboard,scan metrics; decide; act,medium-high,professional restrained,sidebar + workspace + decision metrics,oversized hero cards; vanity metrics,saas dashboard b2b metrics,references/visual-hierarchy.md
developer-tool,Developer Tool,understand state; execute precise actions,high,technical focused,sidebar/tree + main workspace + inspector,marketing cards; decorative whitespace,developer tools dense technical,references/anti-ai-ui.md
fintech-app,Fintech App,build trust; show money; complete safe action,medium,calm trustworthy,summary + primary action + transaction history,gamified neon; ambiguous money formatting,fintech banking trust,references/accessibility.md
ecommerce,E-commerce,discover; compare; convert,medium,visual commercial,search + categories + product grid + cart,hidden pricing; weak product hierarchy,ecommerce retail conversion,references/layout.md
wedding-invitation,Wedding Invitation,tell story; communicate event; RSVP,low-medium,editorial romantic elegant,immersive hero + narrative + details + RSVP,dashboard cards; generic SaaS styling,wedding event editorial,references/anti-ai-ui.md
portfolio,Portfolio,show craft; establish identity; prove outcomes,low-medium,editorial expressive,project-led narrative + case studies,template feature grids; skill bars,portfolio creative case-study,references/visual-hierarchy.md
healthcare-app,Healthcare App,reduce anxiety; enable safe action; explain next step,medium,calm clear reassuring,task-first home + appointment/content flow,dense jargon; alarming color overuse,health medical calm,references/accessibility.md
education-app,Education App,guide progress; sustain attention; practice,medium,friendly structured,learning path + focused lesson + progress,constant badges; noisy gamification,education learning progress,references/layout.md
social-app,Social App,create; connect; consume,medium-high,human lively,feed + creation affordance + profile,too many competing CTAs,social feed community creator,references/interaction.md
ai-assistant,AI Assistant,converse; inspect output; control context,medium-high,quiet intelligent,conversation + context/tools panel,purple gradients; fake intelligence decoration,ai assistant chat context,references/anti-ai-ui.md
landing-page,Landing Page,explain value; prove credibility; convert,low-medium,confident editorial,hero + proof + product story + CTA,feature-card soup; repeated CTAs,landing conversion proof,references/visual-hierarchy.md
admin-console,Admin Console,find records; apply policy; audit changes,high,utilitarian precise,filters + table + detail drawer,decorative dashboard tiles; hidden bulk actions,admin operations table,references/layout.md
content-media,Content and Media,discover; read/watch; resume,medium,immersive editorial,feed + detail + related content + player,autoplay overload; dense metadata everywhere,media content editorial,references/interaction.md
mobile-utility,Mobile Utility,complete one job quickly; recover from interruption,medium,direct native,single primary flow + settings/history,desktop layout squeezed into phone,mobile utility native,references/responsive.md
desktop-workspace,Desktop Workspace,manage many objects; preserve context; use shortcuts,high,focused productive,master-detail + command surface + inspector,phone-style full-screen routes; hover-only actions,desktop workspace master-detail,references/layout.md
event-site,Event Site,build anticipation; provide logistics; collect response,low-medium,warm occasion-led,hero + schedule + map/details + RSVP,overloaded registration dashboard,event event-site narrative,references/anti-ai-ui.md
commerce-checkout,Checkout,review totals; pay confidently; recover errors,medium,clear trustworthy,step summary + payment + confirmation,hidden fees; ambiguous disabled states,checkout payment trust,references/accessibility.md
developer-docs,Developer Documentation,find answer; understand example; copy safely,medium,quiet technical,search + nav tree + readable article + code,wall of prose; code without context,docs search code,references/visual-hierarchy.md
