id,pattern,when,structure,verification,anti_pattern,tags,reference,stack
master-detail,Master-detail,dense tools and settings with persistent context,navigation/list + detail workspace,selection persists and back semantics remain clear,opening every item as isolated full-screen route on desktop,desktop context,references/layout.md,*
progressive-disclosure,Progressive disclosure,advanced configuration or rare controls,essential fields first; advanced section later,common task works without advanced controls,hiding required information behind accordions,complexity control,references/interaction.md,*
command-palette,Command palette,keyboard-heavy developer or productivity tools,search input + ranked commands + shortcut hints,full keyboard navigation and deterministic selection,using as primary navigation for novices,keyboard productivity,references/interaction.md,react
sticky-action,Sticky action bar,long forms with important save or submit,scrolling content + persistent action region,does not obscure content or keyboard,floating CTA covering last fields,long form action,references/responsive.md,*
timeline,Timeline,ordered historical events,date grouping + event + metadata,chronology and status are scannable,using cards with no temporal alignment,history chronology,references/layout.md,*
metric-overview,Metric overview,small set of decision-driving KPIs,metric + trend + context,numbers share units and time window,dashboard full of vanity metrics,metrics dashboard,references/visual-hierarchy.md,*
story-scroll,Story scroll,editorial event or product narrative,hero + sequential sections + final action,content works without motion,every section animates from a different direction,editorial narrative,references/anti-ai-ui.md,*
split-auth,Split auth,authentication plus product context on wide screens,form pane + restrained visual or proof pane,mobile collapses to focused form,marketing carousel distracting from login,auth layout,references/responsive.md,*
filter-table,Filterable table,operations users need scan and refine records,filter bar + table + count + empty state,filter state survives reload or URL when appropriate,filters hidden in unrelated modal,admin data,references/layout.md,*
dashboard-shell,Dashboard shell,repeatable operational navigation and contextual workspace,sidebar + header + main + optional inspector,primary task remains dominant and responsive,metric cards determine every layout,dashboard shell,references/visual-hierarchy.md,*
checkout-stepper,Checkout stepper,multi-step purchase has real validation boundaries,summary + current step + next/back + confirmation,back preserves entered data and errors are local,cosmetic steps with no state boundary,checkout flow,references/accessibility.md,*
infinite-feed,Infinite feed,content consumption is continuous and ordered,feed + loading sentinel + end/error state,refresh and pagination do not duplicate items,unbounded loading with no recovery,feed pagination,references/interaction.md,react-native
empty-first-use,First-use empty state,user has no data yet,explain value + primary create/import action,action creates first valid object,generic empty illustration only,empty onboarding,references/interaction.md,*
filtered-empty,Filtered-empty,records exist but current filters match none,current filters + reset + explanation,reset restores known records,showing global no-data message,empty filters,references/interaction.md,*
offline-action,Offline action,task can be completed or queued without network,offline banner + local state + retry or sync,conflicts and pending state are visible,pretending success with no durable queue,offline mobile,references/interaction.md,react-native
error-recovery,Error recovery,request or data load fails,context + cause-safe message + retry or alternative,retry changes relevant state and reports repeated failure,blank screen or retry loop,error recovery,references/interaction.md,*
responsive-priority,Responsive priority,desktop information cannot fit narrow width,rank content then reflow or replace component,critical task remains possible at narrow width,uniform proportional shrinking,responsive layout,references/responsive.md,*
media-detail,Media detail,article video or gallery needs focus plus related content,primary media + metadata + action + related content,keyboard and mobile playback states are usable,autoplay and cluttered metadata,content media,references/layout.md,*
