id,category,prompt,evidence,output,risk,tags,reference,stack
ci-analysis,ci,What does the existing CI pipeline build test package and authorize?,workflow files package scripts tokens artifacts and local commands,read-only CI map with drift risks and verification gaps,creating a new pipeline can duplicate or widen trust,"CI/CD,existing pipeline read-only",references/ci-cd.md,ci;node
ci-maintenance,ci,Which existing CI job should be fixed and what is the smallest requested change?,failing job logs workflow context package scripts and diff,narrow local workflow change with syntax and test verification,unrelated pipeline cleanup expands operational risk,"GitHub Actions,existing CI fix,build job",references/ci-cd.md,ci;node
container-workflow,container,What Docker or compose setup is explicitly required for this service?,Dockerfile compose build context image provenance env and health checks,container change or assessment with non-root and secret boundaries,adding an orchestration platform without need increases maintenance,"Docker,container,compose,health check",references/containers.md,docker;node
environment-config,environment,How are dev staging and production configuration and secrets separated?,env names config loaders CI environment bindings and secret references,environment boundary map with missing owner and no secret values,configuration drift sends the wrong target or exposes credentials,"dev staging prod,environment config,secrets boundary",references/environments.md,node;nextjs
deployment-plan,deployment,What is the bounded sequence and health gate for a staging or production rollout?,artifact identity target readiness deployment scripts migrations observability and rollback,unexecuted deployment plan with prerequisites and rollback trigger,plan language is not permission to change a remote environment,"deployment,staging,rollout,readiness",references/deployment.md,node;docker
deployment-execution,execution,What explicit target and authorized action are required to deploy this service?,user intent environment artifact approval preflight command and health evidence,execution report separating local and remote results,wrong-target deployment causes outage or data loss,"deploy staging,explicit intent,remote mutation",references/deployment.md,node;docker
rollback-migration,rollback,How can a migration or rollout be detected stopped and rolled back safely?,migration compatibility versioned artifacts health signals backups and recovery point,rollback runbook with downtime and consistency limits,irreversible schema changes may block rollback,"rollback,migration,zero downtime,recovery",references/rollback.md,node
observability,observability,Which logs metrics traces and health checks prove runtime behavior after change?,health readiness liveness dashboards alerts sampling and redaction,observability gap list with evidence and owner,missing signals hide partial rollout or unhealthy instances,"logs,metrics,tracing,health checks",references/observability.md,node;docker;react-native
mobile-release,mobile,What mobile release operations apply to signing versions channels and staged rollout?,build variants flavors signing references TestFlight Play Console crash monitoring and rollback limits,mobile release checklist without credentials or submission,store and signing actions are irreversible or externally controlled,"TestFlight,Play Console,signing,staged rollout",references/mobile-release.md,react-native;flutter;ios;android
desktop-release,desktop,What desktop signing notarization updater and release-channel boundaries apply?,signing references notarization updater channels assets and rollback limits,desktop release plan with external steps unexecuted,unverified signing or updater changes strand installed clients,"signing,notarization,updater channels,release assets",references/desktop-release.md,tauri;electron
ops-git-boundary,safety,Does this request change operational state or only record a local Git workflow?,requested remote action target config diff branch and commit intent,route operational changes to ops and commit/branch work to showdar-git,Git commands can be mistaken for deployment authorization,"operational change,local Git boundary,explicit target",references/deployment.md,*
