id,category,signal,meaning,confidence,action,evidence,stop_condition,tags,reference,stack
goal-source,session,task or user request is available,original intent is anchored,high,copy exact goal and constraints into recovery note,task text or issue,stop if multiple goals conflict,goal context,references/interrupted-session.md,*
plan-source,session,plan/spec has explicit tasks,planned scope is a hint not proof,medium,map each checkbox to current evidence,plan plus files/tests,stop treating checkboxes as completion,plan evidence,references/interrupted-session.md,*
clean-checkpoint,git,clean status after relevant commit,work may be checkpointed,medium,inspect commit files and rerun tests before resuming,status log commit and tests,stop if commit is unrelated,checkpoint,references/failed-runs.md,*
dirty-source,git,dirty source with matching failing test,active incomplete implementation,high,read diff and failure before editing,diff and fresh failure,stop if ownership is unclear,dirty work,references/partial-implementation.md,*
dirty-unrelated,git,dirty file outside task,pre-existing user work,high,protect it and exclude from scope,status diff and task map,stop before broad cleanup,ownership,references/interrupted-session.md,*
untracked-generated,artifacts,untracked generated output,tool may have run partially,medium,identify source owner and whether artifact is tracked,artifact path timestamps and config,stop before deleting unknown output,generated output,references/partial-implementation.md,*
conflict-markers,conflict,conflict markers in source,merge or rebase is unresolved,high,read both semantic sides before resolution,marker locations and branch context,stop feature work until resolved,merge conflict,references/merge-conflicts.md,*
stale-test-log,verification,test log predates current files,recorded result is not current proof,medium,rerun relevant command and compare first failure,log timestamp plus fresh output,stop claiming pass from log,test evidence,references/failed-runs.md,*
missing-test,test,implementation has no behavior proof,completion is unverified,high,write lowest-level regression before changing more,changed path and invariant,stop before declaring complete,test gap,references/partial-implementation.md,*
failing-test,test,targeted test fails after partial patch,implementation is broken or fixture is wrong,high,classify failure and trace owning boundary,full failure output and diff,stop broad refactor until cause known,failing proof,references/failed-runs.md,*
stale-generated,artifacts,generated file disagrees with source,build may use stale output,medium,identify generator then regenerate only owned output,source hash generator command and diff,stop if ownership unclear,stale generated,references/partial-implementation.md,*
failed-migration,data,migration applied partially,rollback and data safety are uncertain,critical,inspect migration status and backup before app edits,DB status and migration logs,stop before retrying mutation,migration recovery,references/merge-conflicts.md,node
failed-refactor,source,imports or types broken after refactor,interface migration is incomplete,high,find first compiler/test error and map old callers,compiler output and search,stop before compatibility cleanup,refactor recovery,references/partial-implementation.md,typescript
missing-consumer,source,new producer exists but caller still old,feature path is incomplete,high,trace producer to all consumers and update contract tests,call graph and fixture,stop if public contract intent unclear,consumer migration,references/partial-implementation.md,*
partial-native,native,shared code changed without native proof,mobile release may be broken,high,inspect iOS Android or desktop diffs and run narrow platform check,native project status and build,stop release claim without target proof,native recovery,references/partial-implementation.md,react-native
context-loss,session,chat or agent context is missing,previous narration cannot establish state,high,use durable files logs commits and fresh tests,task docs status diff and tests,stop if goal cannot be reconstructed,context recovery,references/interrupted-session.md,*
unknown-agent-change,ownership,previous agent changes have no attribution,intent and safety are ambiguous,high,preserve files and audit each changed boundary,diff timestamps tests and surrounding contracts,stop before overwriting,unknown changes,references/interrupted-session.md,*
recovered-green,verification,fresh targeted and affected checks pass,small slice is proven,high,record command output and move to next unmet dependency,test output and diff,stop only if all requirements mapped,proven slice,references/failed-runs.md,*
recovered-unverified,verification,code appears complete but no fresh proof,implementation may be correct but cannot be claimed,medium,run exact relevant verification before edit,source plus missing proof,stop completion claim until fresh run,unverified,references/failed-runs.md,*
safe-next-action,decision,one dependency is clearly next,progress can resume without redoing work,high,perform smallest read/test action that proves boundary,plan dependency and command,stop when action requires user choice,next action,references/partial-implementation.md,*
destructive-boundary,safety,next action would delete/reset/migrate/overwrite,irreversible risk exceeds inferred authority,critical,ask for explicit approval and preserve evidence,command target and recovery path,stop before destructive action,safety gate,references/interrupted-session.md,*
recovery-report,output,recovery note has completed partial broken remaining,another engineer can resume without guessing,high,write evidence-backed handoff,report fields and command results,stop once next safe action is executable,recovery output,references/partial-implementation.md,*
