id,category,surface,inspect,common_breakage,mitigation,verification,rollback,tags,reference,stack
runtime-node,runtime,Node runtime,engine range; native addons; ESM/CJS; OpenSSL,unsupported syntax or binary ABI,match supported runtime and rebuild native modules,version command plus clean install and tests,restore runtime and lockfile,runtime upgrade,references/compatibility.md,node
runtime-dart,runtime,Dart and Flutter SDK,sdk constraints; analyzer; channel,language or framework API mismatch,choose supported SDK pair before package edits,flutter analyze and test,restore SDK constraint and lockfile,flutter sdk,references/compatibility.md,dart
runtime-swift,runtime,Swift and Xcode,Swift language mode; Xcode; deployment target,compiler or SDK API mismatch,stage compiler and source migration,build and test affected schemes,restore Xcode and project settings,swift toolchain,references/compatibility.md,swift
runtime-kotlin,runtime,Kotlin and JDK,Kotlin plugin; JDK; Gradle; language level,compile plugin or bytecode mismatch,upgrade compatible toolchain tuple,release assemble and tests,restore Gradle and plugin versions,kotlin toolchain,references/compatibility.md,kotlin
dependency-direct,dependencies,direct dependency,manifest range; import usage; peer range,install resolves but runtime API changed,read release notes and search usage,install lock resolution plus tests,restore manifest and lockfile,dependency usage,references/dependency-resolution.md,*
dependency-peer,dependencies,peer dependency,peerDependencies and package manager resolver,duplicate framework or incompatible peer,upgrade owning framework and package together only when matrix supports it,clean install and peer report,restore prior compatible tuple,peer dependency,references/dependency-resolution.md,package-manager
dependency-transitive,dependencies,transitive dependency,package tree; duplicate versions; overrides,security or behavior differs through nested package,identify owner and use narrow override only with evidence,lockfile diff and affected tests,remove override and restore lockfile,transitive graph,references/dependency-resolution.md,package-manager
lockfile-integrity,lockfile,lockfile,lock format; importer or package sections; integrity metadata,unreviewable churn or nonreproducible install,upgrade with owning package manager and inspect diff,clean install from lockfile,restore previous lockfile,lockfile,references/dependency-resolution.md,package-manager
framework-react,framework,React migration,removed lifecycle or API; JSX types; compiler behavior,source compile or effect semantics change,search deprecated usage and migrate by invariant,typecheck plus component tests,restore React and types lockfile,react migration,references/breaking-changes.md,react
framework-next,framework,Next.js migration,Node minimum; routing; server/client; cache; config,build or rendering/cache behavior changes,migrate config and route boundaries separately,production build plus route smoke,restore framework config and lockfile,next migration,references/breaking-changes.md,nextjs
framework-rn,framework,React Native migration,React pairing; Metro/Babel; Hermes; architecture; native template,native build or runtime module mismatch,compare template and migrate native files selectively,Android release build and iOS archive where available,restore source native and lockfile,rn migration,references/breaking-changes.md,react-native
framework-expo,framework,Expo migration,SDK and React Native pairing; config plugins; native projects,prebuild or runtime module incompatibility,follow supported SDK pair and inspect generated diff,expo diagnostics and platform builds,restore SDK config and generated ownership,expo migration,references/breaking-changes.md,expo
framework-flutter,framework,Flutter framework migration,Dart SDK; deprecated widgets; plugin platform support,analyzer errors or layout/runtime changes,migrate deprecated APIs and pin plugins,analyze test and release builds,restore pubspec and generated files,flutter migration,references/breaking-changes.md,flutter
native-ios,native,CocoaPods and SPM,Podfile lock; Package.swift; deployment target; signing,link failure or missing capability,upgrade native dependency with minimum OS matrix,archive or scheme build and dependency resolution,restore Podfile.lock and SPM pins,native ios,references/compatibility.md,cocoapods
native-android,native,Android Gradle stack,Gradle; AGP; JDK; compile target min SDK namespace,task resource or signing failure,upgrade supported tuple before app code,release bundle and mapping artifact,restore Gradle files and pins,android gradle,references/compatibility.md,gradle
native-tauri,native,Tauri and Rust,Rust toolchain; Tauri crates; frontend API; permissions,compile or capability policy failure,follow crate/API migration and review capabilities,release bundle plus clean install smoke,restore Cargo lock and config,tauri rust,references/breaking-changes.md,tauri
codegen,generated,code generation,source schema; generator version; generated ownership,generated API drift or stale artifacts,regenerate from source and inspect only owned diff,clean regeneration and compile,restore generated output and generator,codegen,references/migration-strategy.md,*
codemod,source migration,codemod output,matched files; skipped patterns; formatting,partial automated migration,review every changed callsite and keep codemod log,search old API plus tests,restore source checkpoint,codemod,references/migration-strategy.md,*
database-schema,data migration,migration compatibility,old app readers; new schema; rollback reader,old app cannot read new schema or rollback loses data,expand migrate contract with compatibility window,old and new fixtures plus migration dry run,restore app before contract and use backup,db migration,references/rollback.md,node
minimum-platform,platform,minimum OS or SDK,iOS deployment; Android min target; browser runtime support,users excluded or build policy changes,make support change explicit product decision,build matrix and supported-device check,restore minimum and release config,minimum platform,references/compatibility.md,*
staged-upgrade,rollout,staged upgrade,intermediate compatibility and rollout gates,large jump hides causal failure,split runtime framework native and source steps,verify each checkpoint before next,stop at last proven checkpoint,staged migration,references/migration-strategy.md,*
rollback-lock,rollback,rollback boundary,previous manifest lockfile artifact and schema compatibility,rollback command cannot reproduce prior build,preserve artifact and document irreversible steps,build from restored state,restore previous version and compatible config,rollback,references/rollback.md,*
security-patch,security,security patch,advisory; affected range; runtime exposure,patch absent or forced incompatible version,choose supported patched version and test narrow path,dependency audit plus regression suite,backport prior safe version if patch path fails,security update,references/breaking-changes.md,*
