id,category,pattern,signal,risk,preferred_response,verification,tags,reference,stack
shotgun-policy,boundaries,shotgun change,same policy edited in many unrelated files,inconsistent behavior,find existing owner and change once,caller tests cover shared policy,ownership duplication,references/minimal-change.md,*
wrong-owner,boundaries,symptom guard in caller,callers add null or retry guards around shared failure,sibling callers remain broken,patch shared boundary after tracing callers,regression through all callers,root cause boundary,references/architecture-boundaries.md,*
layer-leak,boundaries,domain policy in UI,component decides persistence or authorization,unreusable and bypassable policy,move policy to domain/service owner,unit plus boundary test,layering policy,references/architecture-boundaries.md,react
adapter-leak,boundaries,persistence details leak out,callers construct SQL or response DTO,storage change multiplies across callers,keep adapter contract and map at boundary,adapter integration test,persistence boundary,references/architecture-boundaries.md,node
public-drift,contracts,public contract drift,caller behavior changes without type/schema update,downstream breakage,make contract change explicit and test consumers,compile plus contract fixture,api contract,references/architecture-boundaries.md,typescript
serialization-drift,contracts,serialization shape drift,internal object passed as wire/storage data,missing fields or leaking internals,define serializer and compatibility cases,round-trip and old fixture,serialization,references/error-handling.md,node
boolean-explosion,state,boolean explosion,new flags threaded through many layers,hidden invalid combinations,model explicit state only when combinations are real,table tests for allowed states,state machine,references/minimal-change.md,typescript
mirrored-state,state,mirrored derived state,props/server data copied into local state,stale UI and extra synchronization,derive or name independent draft state,mutation then rerender test,state ownership,references/architecture-boundaries.md,react
async-fire-forget,async,unobserved async work,promise started without owner or error path,unhandled failure or stale side effect,await or explicitly own/cancel task,test rejection and disposal,async ownership,references/error-handling.md,node
disposed-context,async,disposed context use,await then UI/native context is used,crash or stale navigation,guard lifecycle or cancel operation,recreate disposal scenario,lifecycle async,references/error-handling.md,react-native
retry-duplicate,async,unbounded retry,network retry repeats non-idempotent effect,duplicate side effect,add idempotency and bounded classified retry,duplicate request integration test,idempotency,references/error-handling.md,node
swallowed-error,errors,silent fallback,catch returns default without evidence,masked production defect,preserve cause and expose actionable state,assert error path,errors,references/error-handling.md,*
wrong-error-layer,errors,error handled at wrong layer,low layer invents UI message or high layer lacks context,poor recovery and inconsistent UX,handle where recovery context exists,error contract test,error ownership,references/error-handling.md,*
validation-late,validation,late validation,untrusted input reaches domain or DB,ambiguous failures and injection risk,validate at trust boundary and preserve domain checks,invalid input boundary test,input validation,references/error-handling.md,node
cache-without-owner,caching,cache without invalidation owner,write path updates source but not related cache,stale reads,define key/version/invalidation owner,mutation then read test,cache invalidation,references/minimal-change.md,*
cache-clear-patch,caching,global cache clear,fix clears all cache after one mutation,latency and hides key ownership,repair affected key/version only,assert unrelated cache survives,cache scope,references/minimal-change.md,*
race-last-write,concurrency,last response wins,concurrent requests update same state by completion order,stale result overwrites newer state,sequence/cancel/version writes,controlled ordering test,race ordering,references/minimal-change.md,*
lock-too-wide,concurrency,global lock around unrelated work,one slow task blocks all accounts/items,throughput collapse,lock only shared invariant and document ceiling,parallel unrelated work test,lock scope,references/minimal-change.md,node
transaction-split,data,transaction split,related writes commit in separate operations,partial state on failure,keep invariant writes in one transaction,integration rollback test,transaction,references/architecture-boundaries.md,node
feature-flag-permanent,rollout,permanent feature flag,flag has no owner or removal condition,dead branches and untested behavior,record default owner and delete trigger,branch tests plus expiry check,feature flag,references/feature-flags.md,*
native-guess,native,native file guess,project config changed without target build evidence,platform-only failure,inspect generated/owned config then build affected target,native build or analyzer,native configuration,references/architecture-boundaries.md,react-native
type-assertion,type-safety,assertion chain,external data cast through any or non-null assertions,runtime crash and erased contract,narrow unknown with validation,malformed payload test,type safety,references/error-handling.md,typescript
premature-abstraction,maintainability,premature abstraction,new generic layer has one consumer,indirection without leverage,keep local until reuse or volatility boundary,target behavior test,abstraction,references/minimal-change.md,*
