id,category,question,decision,evidence,risk,tags,reference,stack
goal-observable,requirements,What observable outcome proves success?,write a user or system assertion with input and expected result,acceptance scenario or failing test,plan can complete without solving need,goal acceptance,references/requirements.md,*
goal-metric,requirements,Is success measurable?,name baseline and target or regression threshold,metric query; benchmark; test assertion,qualitative claim hides failure,measurement acceptance,references/requirements.md,*
goal-actor,requirements,Who performs and observes the change?,identify actor; trigger; output; permission,journey or API caller,wrong owner and missing authorization,actor boundary,references/requirements.md,*
non-goal,scope,What tempting adjacent work is excluded?,list explicit non-goals and preserve current behavior,issue text plus current callers,scope creep,scope control,references/scope.md,*
scope-smallest,scope,What is the smallest coherent change surface?,include only files required by behavior and proof,call graph; tests; config,shotgun change,change surface,references/scope.md,*
scope-deferred,scope,What can remain unchanged?,record safe deferred cleanup with reason,diff and contract review,unrelated refactor expands blast radius,non-goal discipline,references/scope.md,*
state-owner,architecture,Where does source of truth live now?,name owner and read/write path,store; database; route params; native state,duplicated state diverges,state ownership,references/architecture.md,*
boundary,architecture,Which layer owns policy?,keep UI; domain; persistence; platform responsibilities explicit,imports and side effects,policy leakage,ownership boundary,references/architecture.md,*
api-contract,contract,Which public interfaces or schemas change?,write old/new shape and compatibility rule,types; OpenAPI; serializers; consumers,downstream breakage,api compatibility,references/architecture.md,node
serialization,contract,What crosses process or storage boundaries?,define optionality; errors; versioning,JSON fixtures; wire schema; migration,unknown fields or data loss,serialization contract,references/requirements.md,*
dependency-runtime,dependencies,Which runtime dependencies are required?,reuse existing package and record version constraint,lockfile and import graph,unplanned install or peer breakage,dependencies,references/risk-analysis.md,*
dependency-order,dependencies,What must land first?,order producer/schema/config before consumers,dependency graph; task prerequisites,partial interface blocks integration,task ordering,references/task-decomposition.md,*
rollout,rollout,Can the change be staged?,choose flag; canary; percentage; or atomic release,traffic and feature exposure controls,all users hit unproven path,rollout strategy,references/risk-analysis.md,*
flag-default,rollout,What is the flag default and owner?,define default; branch behavior; removal condition,config and owner record,permanent hidden branch,feature flag,references/risk-analysis.md,*
migration-expand,rollout,Can old and new versions coexist?,expand schema/API; deploy compatible reader/writer; migrate; contract,rollback matrix and schema diff,rolling deploy outage or data loss,migration compatibility,references/risk-analysis.md,node
rollback-boundary,rollout,What is reversible?,name artifact; config; schema and irreversible step,backup; previous artifact; migration status,rollback that cannot run,rollback,references/risk-analysis.md,*
backward-api,compatibility,Do old clients continue to work?,keep additive or version the contract,consumer versions and contract tests,client outage,backwards compatibility,references/architecture.md,*
backward-data,compatibility,Can old code read changed data?,preserve defaults and nullable transition,fixture; decoder; old-version test,rollback reads unknown schema,data compatibility,references/risk-analysis.md,*
test-invariant,verification,Which invariant is proven?,choose lowest effective test level,test case that fails when invariant breaks,tests check implementation only,test strategy,references/task-decomposition.md,*
test-boundary,verification,Which boundary needs real semantics?,use integration for DB; HTTP; native; cache,ephemeral dependency or contract fixture,mock hides defect,test boundary,references/task-decomposition.md,*
acceptance-negative,verification,What should fail safely?,include validation; auth; retry; empty; offline; cancellation behavior,negative acceptance cases,silent failure or unsafe fallback,negative path,references/requirements.md,*
acceptance-observability,verification,How will operation be diagnosed?,define correlation; metric; log/event without secrets,observable field or dashboard,correctness failure becomes opaque,observability,references/risk-analysis.md,*
platform-native,platform,Which native files/builds are touched?,split shared and iOS/Android/desktop tasks,project files; schemes; flavors,local pass but release failure,native surface,references/risk-analysis.md,react-native
platform-web,platform,Does server/client or cache ownership change?,define render; URL; freshness; accessibility behavior,route config; browser scenario,hydration/cache regression,web boundary,references/architecture.md,nextjs
