id,category,pattern,risk,evidence,good,bad,severity,false_positive_notes,tags,reference,stack
correctness-null,correctness,unchecked external null,invalid input crashes or corrupts state,reachable payload and missing-field path,narrow validate and return typed error,cast and dereference directly,P1,known non-null internal invariant with proof is not a finding,nullability,references/correctness.md,typescript
correctness-error,correctness,error path loses state,failed operation leaves UI or data falsely successful,inject failure and inspect state transition,preserve failed state and recovery action,catch then show success,P1,logging-only catch with propagated error is acceptable,error state,references/correctness.md,*
correctness-order,correctness,ordering assumption,completion order changes result or side effect,controlled interleaving or event trace,version/cancel/idempotency guard,last callback wins,P1,serial execution proven by owner contract is safe,ordering,references/correctness.md,*
correctness-boundary,correctness,off-by-one or empty boundary,first last empty or maximum item behaves wrong,table of boundary inputs,explicit boundary tests,only typical input tested,P2,unreachable values should be excluded by validated contract,boundary,references/correctness.md,*
architecture-owner,architecture,policy in wrong owner,duplicate policy diverges across callers,call graph and sibling behavior,centralize at actual owner,caller-specific patches,P1,local policy is fine when callers intentionally differ,ownership,references/architecture.md,*
architecture-cycle,architecture,new dependency cycle,initialization and change surface become coupled,imports or package graph,break cycle at stable contract,add another barrel or service,P1,type-only cycle with no runtime effect may be lower risk,dependency cycle,references/architecture.md,typescript
architecture-abstraction,architecture,abstraction without leverage,indirection hides one simple behavior,new layer has one consumer,keep local or show volatility boundary,generic factory and interface,P2,second consumer or real plugin boundary can justify it,abstraction,references/maintainability.md,*
security-authz,security,authorization only in client,API can be called without policy,request route lacks owner-side check,enforce policy at server/service,disable button or hide route,P0,public endpoint with no protected resource is not an authz gap,authorization,references/security.md,node
security-input,security,unvalidated trust input,injection path or malformed data reaches interpreter,request/file/query value flow,validate and parameterize at boundary,regex or UI validation only,P0,validated typed internal values need no duplicate parser,input validation,references/security.md,node
security-secret,security,secret in log/artifact,credential or personal data exposure,log/build/diff contains value,redact and verify by name/metadata,print env or token,P0,public non-sensitive build metadata is not a secret,secret handling,references/security.md,*
security-path,security,unbounded path or URL,SSRF traversal or arbitrary file access,attacker controls path/host and sink,allowlist resolve and constrain path,concatenate user value into sink,P0,static trusted path with no attacker input is safe,path security,references/security.md,node
performance-loop,performance,I/O or query inside loop,N+1 latency and load,query count grows with item count,batch or prefetch with measured bound,add cache without invalidation,P1,small bounded list with explicit product limit may be acceptable,n-plus-one,references/performance.md,node
performance-render,performance,broad render state,typing/list interaction misses frame budget,profiler render count and data size,narrow owner or virtualization after measurement,memoize every subtree,P1,measured small subtree with budget proof is not a finding,render churn,references/performance.md,react
performance-event-loop,performance,synchronous heavy work on event loop,all requests stall,profile or input-size growth,stream worker or chunk work,add timeout around blocking call,P1,small bounded work should be stated as such,event loop,references/performance.md,node
performance-memory,performance,resource retained across lifecycle,memory grows with repeated flow,heap/listener/image/resource delta,dispose and bound cache,raise memory limit,P1,transient allocation returning to baseline is not retention,memory,references/performance.md,react-native
concurrency-lost-update,concurrency,read-modify-write without lock,lost update or duplicate effect,two overlapping callers and final state,transaction/version/unique constraint,check then write without guard,P1,serialized owner with documented lock is safe,lost update,references/correctness.md,node
concurrency-retry,concurrency,retry repeats effect,network timeout leaves unknown commit and retry duplicates,request id and durable effect,idempotency key and safe retry,retry every mutation,P1,idempotent operation with proof is not a finding,idempotency,references/correctness.md,*
data-transaction,data integrity,related writes not atomic,partial state after error,fail second write and inspect DB,one transaction or compensating action,separate commits with no recovery,P1,eventually consistent workflow must document repair path,transaction,references/correctness.md,node
data-migration,data integrity,destructive schema change,old app or rollback cannot read data,old/new schema compatibility,expand migrate contract,drop/rename in one rollout,P1,offline one-shot system with backup and explicit version gate may differ,migration,references/architecture.md,*
api-validation,api design,ambiguous error contract,clients cannot recover consistently,status/body mismatch and callers,stable error code and validation shape,throw arbitrary string,P1,internal function with typed domain error may not need HTTP shape,error contract,references/correctness.md,node
api-versioning,api design,breaking response without migration,old consumer fails on deploy,consumer versions and fixture,additive/versioned change and contract test,remove field silently,P1,all consumers atomically versioned can avoid compatibility window,compatibility,references/architecture.md,*
mobile-disposal,mobile,async callback after disposal,crash or stale navigation,await crosses unmount/dispose and writes state,cancel/guard lifecycle and test leave-enter,ignore cancellation,P1,operation owned by process lifetime not screen is safe,lifecycle,references/maintainability.md,react-native
mobile-accessibility,mobile,custom control lacks semantics,screen reader or keyboard cannot operate,role/name/state/focus inspection,native control or complete semantics,clickable visual-only container,P1,decorative noninteractive element is not a finding,accessibility,references/testing.md,react-native
tests-mock,testing,mock-only behavior proof,regression passes while real boundary is broken,test never observes output/state,assert observable behavior at lowest real level,assert only mock call,P2,mock is valid for unavailable nondeterministic external system,mocks,references/testing.md,*
tests-flaky,testing,arbitrary sleep or retry hides flake,slow nondeterministic CI and masked race,timing primitive and retry config,barrier/event/state synchronization,increase timeout or retry,P2,documented bounded polling of external state can be valid,flaky,references/testing.md,playwright
observability-correlation,observability,operation lacks correlation,incident cannot join request/job/logs,request or job path without id,propagate redacted correlation and outcome,log raw payload only,P2,local pure function need not create correlation,diagnostics,references/maintainability.md,node
